year,arrivals,source
1900,1000,LCTCM n.p.
1901,1246,LCTCM n.p.
1902,1552,LCTCM n.p.
1903,1933,LCTCM n.p.
1904,2408,LCTCM n.p.
1905,3000,LCTCM n.p.
1906,3446,LCTCM n.p.
1907,3959,LCTCM n.p.
1908,4547,LCTCM n.p.
1909,5223,LCTCM n.p.
1910,6000,LCTCM n.p.
1911,6817,LCTCM n.p.
1912,7746,LCTCM n.p.
1913,8801,LCTCM n.p.
1914,10000,LCTCM n.p.
1915,9457,LCTCM n.p.
1916,8944,LCTCM n.p.
1917,8459,LCTCM n.p.
1918,8000,LCTCM n.p.
1919,9798,LCTCM n.p.
1920,12000,LCTCM n.p.
1921,13291,LCTCM n.p.
1922,14720,LCTCM n.p.
1923,16304,LCTCM n.p.
1924,18058,LCTCM n.p.
1925,20000,LCTCM n.p.
1926,21689,LCTCM n.p.
1927,23522,LCTCM n.p.
1928,25508,LCTCM n.p.
1929,27663,LCTCM n.p.
1930,30000,LCTCM n.p.
1931,32534,LCTCM n.p.
1932,35282,LCTCM n.p.
1933,38263,LCTCM n.p.
1934,41495,LCTCM n.p.
1935,45000,LCTCM n.p.
1936,20662,PRM14 p.245
1937,9487,PRM14 p.245
1938,4356,PRM14 p.245
1939,2000,PRM14 p.245
1940,2520,PRM14 p.245
1941,3175,PRM14 p.245
1942,4000,PRM14 p.245
1943,5040,PRM14 p.245
1944,6350,PRM14 p.245
1945,8000,PRM14 p.245
1946,11542,PRM14 p.245
1947,16651,PRM14 p.245
1948,24022,PRM14 p.245
1949,34657,PRM14 p.245
1950,50000,PRM14 p.245
1951,64600,PRM14 p.246
1952,83462,PRM14 p.246
1953,107833,PRM14 p.246
1954,139320,PRM14 p.246
1955,180000,PRM14 p.246
1956,220807,PRM14 p.246
1957,270864,PRM14 p.246
1958,332270,PRM14 p.246
1959,407597,PRM14 p.246
1960,500000,PRM14 pp.246-248
1961,581994,PRM14 pp.246-248
1962,677435,PRM14 pp.246-248
1963,788526,PRM14 pp.246-248
1964,917835,PRM14 pp.246-248
1965,1068349,PRM14 pp.246-248
1966,1243546,PRM14 pp.246-248
1967,1447473,PRM14 pp.246-248
1968,1684842,PRM14 pp.246-248
1969,1961137,PRM14 pp.246-248
1970,2282740,PRM14 pp.246-248
1971,2657083,PRM14 pp.246-248
1972,3092814,PRM14 pp.246-248
1973,3600000,PRM14 pp.246-248
1974,3720255,PRM14 pp.246-248
1975,3844526,PRM14 pp.246-248
1976,3972949,PRM14 pp.246-248
1977,4105662,PRM14 pp.246-248
1978,4242808,PRM14 pp.246-248
1979,4384535,PRM14 pp.246-248
1980,4530996,PRM14 pp.246-248
1981,4682350,PRM14 pp.246-248
1982,4838759,PRM14 pp.246-248
1983,5000393,PRM14 pp.246-248
1984,5167427,PRM14 pp.246-248
1985,5340040,PRM14 pp.246-248
1986,5518419,PRM14 pp.246-248
1987,5702757,PRM14 pp.246-248
1988,5893252,PRM14 pp.246-248
1989,6090111,PRM14 pp.246-248
1990,6293545,"ATIB01 pp.15,18"
1991,6501370,"ATIB01 pp.15,18"
1992,6641579,"ATIB01 pp.15,18"
1993,7135215,"ATIB01 pp.15,18"
1994,8272444,"ATIB01 pp.15,18"
1995,8492403,"ATIB01 pp.15,18"
1996,8620686,"ATIB01 pp.15,18"
1997,9320383,"ATIB01 pp.15,18"
1998,9317272,"ATIB01 pp.15,18"
1999,10142349,"ATIB01 pp.15,18"
2000,10191920,"ATIB01 pp.15,18"
2001,10023777,ATIB01 p.15
2002,9466311,ATIB02 p.10
2003,10263220,ATIB03 p.16
2004,11249030,ATIB05 p.16
2005,11626188,ATIB05 p.16
2006,12565917,ATIB12 p.51
2007,13239190,ATIB12 p.51
2008,13065445,ATIB12 p.51
2009,11433073,ATIB12 p.51
2010,11349261,ATIB12 p.51
2011,12289876,ATIB12 p.51
2012,12561511,ATIB12 p.51
2013,13033791,ATIB12 p.51 + ATIB15 p.3
2014,13523824,ATIB12 p.51 + ATIB15 p.3
2015,14010682,ATIB15 p.3
2016,15371360,ATIB15 p.3 + ATIB17 p.31
2017,16339756,ATIB17 p.31
2018,16583654,ATIB18 p.31
2019,16453636,ATIB19 p.31
2020,3071906,ATIB20 p.31
2021,8680441,ATIB21 p.31
2022,16507007,ATIB22 p.31
2023,17854981,ATIB23 p.31
2024,18730440,ATIB24 p.31
2025,19053590,AETIB25-Dec p.4
