ccaa_code,year,value
ES53,2000,20000.0
ES53,2001,21400.0
ES53,2002,21800.0
ES53,2003,22100.0
ES53,2004,23000.0
ES53,2005,24100.0
ES53,2006,25300.0
ES53,2007,26100.0
ES53,2008,26400.0
ES53,2009,24800.0
ES53,2010,24600.0
ES53,2011,24300.0
ES53,2012,23800.0
ES53,2013,23700.0
ES53,2014,24500.0
ES53,2015,25700.0
ES53,2016,26900.0
ES53,2017,28000.0
ES53,2018,28900.0
ES53,2019,29500.0
ES53,2020,22600.0
ES53,2021,25800.0
ES53,2022,31000.0
ES53,2023,34000.0
ES53,2024,36100.0
ES43,2000,10500.0
ES43,2001,11200.0
ES43,2002,12000.0
ES43,2003,12800.0
ES43,2004,13600.0
ES43,2005,14700.0
ES43,2006,15600.0
ES43,2007,16700.0
ES43,2008,17300.0
ES43,2009,16700.0
ES43,2010,17000.0
ES43,2011,16600.0
ES43,2012,16000.0
ES43,2013,16000.0
ES43,2014,16100.0
ES43,2015,17000.0
ES43,2016,17600.0
ES43,2017,18800.0
ES43,2018,19400.0
ES43,2019,19900.0
ES43,2020,18400.0
ES43,2021,20400.0
ES43,2022,22200.0
ES43,2023,23900.0
ES43,2024,25200.0
ES61,2000,11900.0
ES61,2001,12800.0
ES61,2002,13600.0
ES61,2003,14600.0
ES61,2004,15600.0
ES61,2005,16600.0
ES61,2006,17600.0
ES61,2007,18500.0
ES61,2008,18600.0
ES61,2009,17700.0
ES61,2010,17600.0
ES61,2011,17300.0
ES61,2012,16600.0
ES61,2013,16400.0
ES61,2014,16600.0
ES61,2015,17500.0
ES61,2016,17900.0
ES61,2017,18700.0
ES61,2018,19300.0
ES61,2019,19700.0
ES61,2020,17800.0
ES61,2021,19600.0
ES61,2022,21600.0
ES61,2023,23200.0
ES61,2024,24500.0
ES,2000,21640.0
ES,2001,22380.0
ES,2002,22630.0
ES,2003,22870.0
ES,2004,23210.0
ES,2005,23600.0
ES,2006,24160.0
ES,2007,24530.0
ES,2008,24320.0
ES,2009,23210.0
ES,2010,23130.0
ES,2011,22900.0
ES,2012,22240.0
ES,2013,22000.0
ES,2014,22400.0
ES,2015,23340.0
ES,2016,24000.0
ES,2017,24650.0
ES,2018,25130.0
ES,2019,25420.0
ES,2020,22510.0
ES,2021,24020.0
ES,2022,25310.0
ES,2023,25630.0
ES,2024,26240.0
