series,year,value,unit,method
Balearic Islands INE chain-linked,2000,27821.010177129643,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2001,29632.255788561630,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2002,30308.176564628586,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2003,30685.692891302533,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2004,31887.638254904145,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2005,33385.212212555569,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2006,35057.665056828017,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2007,36213.808807266985,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2008,36609.368193671668,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2009,34465.019941056788,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2010,34195.761972767279,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2011,33759.952683886324,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2012,33046.557860686298,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2013,32920.256442571110,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2014,33940.383281193732,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2015,35714.154845492638,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2016,37365.788774691158,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2017,38863.362732342583,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2018,40119.437275136414,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2019,40885.573349857070,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2020,31382.432582443416,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2021,35818.249420862296,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2022,43067.395649605030,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2023,47182.601195885363,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
Balearic Islands INE chain-linked,2024,50094.473450892503,2011 PPP dollars per inhabitant,RW_2000 * (INE_t / INE_2000)
