year,value,source
1900,3173.4190542253423,Rosés-Wolf (2011 PPP)
1910,4113.467797774129,Rosés-Wolf (2011 PPP)
1925,5410.965526988061,Rosés-Wolf (2011 PPP)
1938,4330.520052542811,Rosés-Wolf (2011 PPP)
1950,4918.607258204894,Rosés-Wolf (2011 PPP)
1960,6859.65785578363,Rosés-Wolf (2011 PPP)
1970,12381.20452042582,Rosés-Wolf (2011 PPP)
1980,17910.66415215547,Rosés-Wolf (2011 PPP)
1990,24160.466742568038,Rosés-Wolf (2011 PPP)
2000,27821.010177129647,Rosés-Wolf (2011 PPP)
2001,23969.8251286997,Eurostat PPS (scaled)
2002,24477.66040685012,Eurostat PPS (scaled)
2003,24274.526295589952,Eurostat PPS (scaled)
2004,24883.928629370454,Eurostat PPS (scaled)
2005,26001.16624130137,Eurostat PPS (scaled)
2006,27727.80618701279,Eurostat PPS (scaled)
2007,28540.342632053456,Eurostat PPS (scaled)
2008,28641.909687683543,Eurostat PPS (scaled)
2009,26509.001519451787,Eurostat PPS (scaled)
2010,28932.511282471954,Rosés-Wolf (2011 PPP)
2011,25798.032130041203,Eurostat PPS (scaled)
2012,25696.46507441112,Eurostat PPS (scaled)
2013,25798.032130041203,Eurostat PPS (scaled)
2014,26915.269741972123,Eurostat PPS (scaled)
2015,35477.51079921177,Rosés-Wolf (2011 PPP)
2016,36129.62261032971,Rosés-Wolf (2011 PPP)
2017,37027.95628638814,Rosés-Wolf (2011 PPP)
2018,37575.24101340247,Rosés-Wolf (2011 PPP)
2019,37624.23588454732,Rosés-Wolf (2011 PPP)
2020,28230.691454448614,Rosés-Wolf (2011 PPP)
2021,31086.263178273835,Rosés-Wolf (2011 PPP)
2022,34837.50008111863,Rosés-Wolf (2011 PPP)
2023,38798.61525069189,Eurostat PPS (scaled)
2024,40931.52341892364,Eurostat PPS (scaled)
