year,gdppc,tourists
1900,100.0000,100.0000
1901,102.6285,124.6000
1902,105.3261,155.2000
1903,108.0947,193.3000
1904,110.9359,240.8000
1905,113.8519,300.0000
1906,116.8445,344.6000
1907,119.9158,395.9000
1908,123.0678,454.7000
1909,126.3027,522.3000
1910,129.6226,600.0000
1911,132.0135,681.7000
1912,134.4486,774.6000
1913,136.9286,880.1000
1914,139.4543,1000.0000
1915,142.0266,945.7000
1916,144.6463,894.4000
1917,147.3144,845.9000
1918,150.0317,800.0000
1919,152.7991,979.8000
1920,155.6175,1200.0000
1921,158.4879,1329.1000
1922,161.4113,1472.0000
1923,164.3886,1630.4000
1924,167.4209,1805.8000
1925,170.5090,2000.0000
1926,167.6124,2168.9000
1927,164.7650,2352.2000
1928,161.9660,2550.8000
1929,159.2146,2766.3000
1930,156.5099,3000.0000
1931,153.8511,3253.4000
1932,151.2375,3528.2000
1933,148.6683,3826.3000
1934,146.1427,4149.5000
1935,143.6601,4500.0000
1936,141.2196,2066.2000
1937,138.8205,948.7000
1938,136.4623,435.6000
1939,137.9181,200.0000
1940,139.3894,252.0000
1941,140.8764,317.5000
1942,142.3792,400.0000
1943,143.8981,504.0000
1944,145.4332,635.0000
1945,146.9847,800.0000
1946,148.5527,1154.2000
1947,150.1375,1665.1000
1948,151.7392,2402.2000
1949,153.3579,3465.7000
1950,154.9939,5000.0000
1951,160.2362,6460.0000
1952,165.6559,8346.2000
1953,171.2588,10783.3000
1954,177.0512,13932.0000
1955,183.0395,18000.0000
1956,189.2304,22080.7000
1957,195.6307,27086.4000
1958,202.2474,33227.0000
1959,209.0879,40759.7000
1960,216.1598,50000.0000
1961,229.3090,58199.4000
1962,243.2580,67743.5000
1963,258.0555,78852.6000
1964,273.7532,91783.5000
1965,290.4058,106834.9000
1966,308.0713,124354.6000
1967,326.8115,144747.3000
1968,346.6917,168484.2000
1969,367.7811,196113.7000
1970,390.1535,228274.0000
1971,404.8278,265708.3000
1972,420.0541,309281.4000
1973,435.8531,360000.0000
1974,452.2463,372025.5000
1975,469.2560,384452.6000
1976,486.9056,397294.9000
1977,505.2189,410566.2000
1978,524.2211,424280.8000
1979,543.9380,438453.5000
1980,564.3964,453099.6000
1981,581.5454,468235.0000
1982,599.2154,483875.9000
1983,617.4224,500039.3000
1984,636.1825,516742.7000
1985,655.5127,534004.0000
1986,675.4302,551841.9000
1987,695.9528,570275.7000
1988,717.0991,589325.2000
1989,738.8879,609011.1000
1990,761.3387,629354.5000
1991,772.1553,650137.0000
1992,783.1256,664157.9000
1993,794.2517,713521.5000
1994,805.5359,827244.4000
1995,816.9805,849240.3000
1996,828.5876,862068.6000
1997,840.3597,932038.3000
1998,852.2990,931727.2000
1999,864.4079,1014234.9000
2000,876.6888,1019192.0000
2001,909.2467,1002377.7000
2002,943.0136,946631.1000
2003,978.0346,1026322.0000
2004,1014.3562,1124903.0000
2005,1052.0266,1162618.8000
2006,1059.1448,1256591.7000
2007,1066.3112,1323919.0000
2008,1073.5260,1306544.5000
2009,1080.7897,1143307.3000
2010,1088.1026,1134926.1000
2011,1095.4649,1228987.6000
2012,1102.8770,1256151.1000
2013,1110.3393,1303379.1000
2014,1117.8521,1352382.4000
2015,1125.4157,1401068.2000
2016,1155.9217,1537136.0000
2017,1187.2546,1633975.6000
2018,1219.4369,1658365.4000
2019,1252.4915,1645363.6000
2020,1286.4422,307190.6000
2021,1321.3130,868044.1000
2022,1357.1292,1650700.7000
2023,1463.6653,1785498.1000
2024,1578.5647,1873044.0000
